39,3,4
45,4,3
65293,7,3
65438,4,5
32,4,-1
12288,8,0
33,2,0
65281,5,-1
34,4,5
35,4,0
36,4,0
37,4,0
65285,8,0
38,4,0
40,4,0
41,4,0
42,4,1
44,3,-1
12289,4,-1
46,2,0
65294,4,0
12290,5,-1
47,4,0
58,3,1
65306,4,0
59,3,-1
63,4,0
65311,7,-1
64,4,0
91,4,0
92,4,0
93,4,0
95,4,-1
96,3,3
123,4,0
124,2,0
125,4,0
126,4,5
12300,5,2
12301,5,-1
43,4,1
60,4,1
61,4,2
62,4,1
12539,4,2
48,4,0
49,4,0
50,4,0
51,4,0
65299,7,0
52,4,0
65300,7,0
53,4,0
54,4,0
55,4,0
56,4,0
57,4,0
97,4,0
65345,7,0
65,4,0
65313,8,0
98,4,0
66,4,0
65314,8,0
99,4,0
67,4,0
65315,8,0
100,4,0
68,4,0
101,4,0
69,4,0
102,4,0
70,4,0
65318,8,0
103,4,-1
71,4,0
104,4,0
72,4,0
105,2,0
73,4,0
65321,5,0
106,4,-1
74,4,0
107,4,0
75,4,0
108,3,0
76,4,0
109,4,0
65357,7,0
77,4,0
65325,8,0
110,4,0
78,4,0
111,4,0
65359,6,0
79,4,0
65327,8,0
112,4,-1
65360,6,-1
80,4,0
113,4,-1
81,4,0
114,4,0
82,4,0
115,4,0
83,4,0
65331,8,0
116,4,0
65364,6,0
84,4,0
117,4,0
65365,7,0
85,4,0
118,4,0
86,4,0
119,4,0
87,4,0
120,4,0
88,4,0
121,4,-1
89,4,0
65337,8,0
122,4,0
90,4,0
12449,7,-1
65393,4,0
12450,8,-1
12354,8,-1
65384,4,0
12451,7,-1
12452,7,-1
12356,8,-1
12454,8,-1
12358,7,-1
12455,8,-1
12456,8,-1
12457,6,-1
12458,8,-1
12362,8,-1
12459,8,-1
12363,8,-1
12460,8,-1
12364,8,-1
12461,8,-1
12365,8,-1
12462,8,-1
12366,8,-1
65400,4,0
12463,7,-1
12367,6,-1
12464,8,-1
12368,8,-1
12465,8,-1
12369,8,-1
12466,8,-1
12467,7,-1
12371,7,-1
12468,8,-1
12469,8,-1
12373,8,-1
12470,8,-1
12471,7,-1
12375,8,-1
12472,8,-1
12473,8,-1
12377,8,-1
12474,8,-1
12475,8,-1
12379,8,-1
12477,7,-1
12381,8,-1
12479,7,-1
12383,8,-1
12480,8,-1
12384,8,-1
